,Men in F/M Stories,Men in M/M Stories,Men in F/F Stories,Women in F/M Stories,Women in F/F Stories,Women in M/M Stories
brave,0.256077766,0.129832998,0.490786076,0.220546693,0.311876655,-0.161316767
loud,0.119207293,0.129301772,0.243358299,0.10318318,0.274458438,0.034395427
muscular,-0.018847428,0.109934613,0.371851683,0.040606398,0.334300935,0.003121464
dismissive,0.169871837,0.079168171,0.484514505,0.116928466,0.392584592,0.20222196
angry,0.267742306,0.187357932,0.478507161,0.240240514,0.185351834,0.035614308
stern,0.302012712,0.22106199,0.551795006,0.29249689,0.426911682,0.241206169
dangerous,0.04733482,0.006803349,0.44931525,-0.007341599,0.277104497,-0.165141553
strained,0.086030036,-0.04687719,0.454023063,0.101440459,0.429911554,-0.008259591
gravelly,0.275069237,0.057346538,0.466591209,0.223717123,0.345936298,0.148827359
mad,0.071798466,0.06874834,0.442452729,0.024385305,0.195499003,-0.041011095
smart,0.209254742,0.036591887,0.461377442,0.153553903,0.25330171,-0.23409
big,0.18782945,0.080589421,0.317587614,0.144627079,0.213233888,-0.263698816
husky,0.205380306,0.056908946,0.31519115,0.206309646,0.287095249,0.105930507
powerful,0.19290182,0.058885053,0.24140954,0.165298507,0.215721399,-0.191767663
broad,0.110132948,0.104100183,0.38025552,0.172847152,0.305594981,0.058567468
large,0.109957576,0.025988847,0.255951524,0.149027079,0.264017463,-0.06234787
tall,0.228321671,0.12011946,0.303593218,0.315229416,0.360049278,-0.042965475
gruff,0.284355819,0.143357024,0.55027169,0.264373958,0.412667394,0.106491007
huge,0.164065808,0.134903654,0.456198335,0.228513405,0.443073481,-0.028196536
rough,0.061050419,0.091656551,0.240940273,0.109357424,0.30705297,-0.05053867
strong,0.06952022,0.121842012,-0.037812874,0.087945737,0.301942647,-0.181084722
smug,0.121212952,0.193676978,0.510487974,0.113271624,0.357826054,0.117732614
wide,0.166486219,0.146287113,0.177768081,0.27550748,0.28657797,0.000803865
handsome,0.196473926,0.204384133,0.564999461,0.21638909,0.332742065,-0.018096365
brilliant,0.26819399,0.139978826,0.451977879,0.237647787,0.220307648,-0.067681938
charming,0.288370728,0.06997259,0.506084681,0.226419806,0.304152191,-0.016142346
stubborn,0.181299046,0.109287083,0.501924038,0.12373057,0.282065302,-0.088566601
heavy,-0.011624657,0.02538655,-0.023553871,0.061950669,0.282033503,0.062490109
serious,0.130217165,0.062167339,0.444297522,0.039841257,0.235071108,-0.045792043
haired,0.23868224,0.153821796,0.393696189,0.345178425,0.343186378,-0.054468915
cool,-0.079947039,0.033947304,0.060796022,-0.037057318,0.303509057,-0.163774163
clever,0.121364899,0.028366067,0.440133929,0.055969,0.368174791,-0.222864211
busy,0.067026019,0.02172897,0.370774657,0.020865221,0.20587562,-0.063486204
mischievous,0.168301433,0.111136392,0.384367108,0.16019997,0.277654946,0.112857185
deep,0.034986809,0.181031495,-0.006771177,0.074014723,0.306983352,0.066307776
blond,0.398145795,0.273724586,0.276932329,0.464104623,0.393069297,0.099039122
sharp,0.068621747,0.161094546,0.080420807,0.121780857,0.323822856,0.125591487
cheeky,0.289164126,0.12189322,0.607161164,0.241929948,0.508701324,0.123426981
mean,0.159106401,0.104092277,0.359464611,0.160395539,0.312353669,-0.013859651
