Timestamp,3/16/2021 14:59:49,3/16/2021 15:02:42,3/16/2021 15:06:58,3/16/2021 15:35:46,3/16/2021 15:38:30,3/16/2021 15:42:00,3/16/2021 15:42:52,3/16/2021 15:46:52,3/16/2021 16:16:35,3/16/2021 16:27:52
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Other]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Young]",Feminine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Small]",Feminine,Feminine,Feminine,Feminine,Masculine,Neither/Neutral,Feminine,Feminine,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Little]",Feminine,Neither/Neutral,Feminine,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Feminine,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Own]",Masculine,Neither/Neutral,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Feminine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Old]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Whole]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Masculine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Good]",Neither/Neutral,Neither/Neutral,Neither/Neutral,Feminine,Masculine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Masculine
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Right]",Masculine,Neither/Neutral,Neither/Neutral,Feminine,Feminine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Neither/Neutral
"Please evaluate each adjective as masculine, feminine or neither/neutral. [Free]",Masculine,Feminine,Neither/Neutral,Masculine,Feminine,Neither/Neutral,Masculine,Neither/Neutral,Neither/Neutral,Neither/Neutral
